Souvenir Name,Souvenir Description,Category,City,Region,Country,Owner,Longitude,Latitude,Price,Weight,DateObtained,Username,Password,OwnerName
Tenugui Cotton Cloth Rice Grains,,Clothing,Niigata,Echigo,Japan,Group 1,,,15,6.7,2007-01-10T00:00:00.0000000,Jsmith,Password1234q,John Smith
12'' Ancient Traditional Korea Hanbok Doll,,Toy,Seoul,Gyeonggi,South Korea,Group 1,,,20.8,19.36,2008-06-18T00:00:00.0000000,Jsmith,Password1234q,John Smith
Resort Snowglobe,,Miscellaneous,Orlando,Florida,United States,Group 1,,,29.95,13.4,2019-12-23T00:00:00.0000000,Jsmith,Password1234q,John Smith
Iron Standing Dog,,Miscellaneous,New Delhi,Haryana,India,Group 1,,,50,5,2020-12-02T00:00:00.0000000,Jsmith,Password1234q,John Smith
Crafts Enameled Cockatoo,,Art,Atlanta,Georgia,United States,Group 1,,,40,10,2020-12-02T00:00:00.0000000,Jsmith,Password1234q,John Smith
Hand Painted Rose Flower,,Art,Manchester,Lancashire,England,Group 1,,,25,5,2013-08-23T00:00:00.0000000,Jsmith,Password1234q,John Smith
Hand Painted Enameled Telephone,,Art,Warsaw,Mazovia,Poland,Group 1,,,15,6.88,2016-05-15T00:00:00.0000000,Jsmith,Password1234q,John Smith
Cast Iron Door Stop,,Miscellaneous,Toronto,Ontario,Canada,Group 1,,,22,8,2018-05-18T00:00:00.0000000,Jsmith,Password1234q,John Smith
Organic Maple Syrup,      ,Food,Paris,Ile-de-France,France,Group 1,,,22.95,10,2015-05-08T00:00:00.0000000,japple,ApPleJacks13w,James Apple
Eiffel Tower Model,,Art,Lima,Lima,Peru,Group 1,,,9.99,5,2000-01-01T00:00:00.0000000,japple,ApPleJacks13w,James Apple
Metal Jewelry Box,,Art,Washington DC,Washington DC,United States,Group 1,,,10,6,2018-05-18T00:00:00.0000000,japple,ApPleJacks13w,James Apple
Alpaca Poncho,,Clothing,Melbourne,Victoria,Australia,Group 1,,,49.99,20,2002-08-03T00:00:00.0000000,japple,ApPleJacks13w,James Apple
Classic Vintage Antique Heart Shape Jewelry Box,,Art,Nairobi,Nairobi,Kenya,Group 1,,,20,18,2020-08-05T00:00:00.0000000,japple,ApPleJacks13w,James Apple
Chicago Cubs T-Shirt,,Clothing,Beijing,Hebei,China,Group 1,,,19.99,5,2016-09-23T00:00:00.0000000,japple,ApPleJacks13w,James Apple
Decorative African Wood Mask ,,Art,Chicago,Illinois,United States,Group 1,,,35.99,15,1999-12-24T00:00:00.0000000,phop,Hopper8904i,Phil Hop
American Flag,,Miscellaneous,Washington DC,Washington DC,United States,Group 1,,,2,1,2016-07-04T00:00:00.0000000,phop,Hopper8904i,Phil Hop
Shot Glass,,Kitchenware,Berlin,Brandenburg,Germany,Group 1,,,8.95,4.2,2007-07-07T00:00:00.0000000,phop,Hopper8904i,Phil Hop
Vintage Maori Carving Intricate Patu Club & Long House Box Polynesian Art,,Artifact,Melbourne,Victoria,Australia,Group 1,,,41.16,8.47,2021-05-18T00:00:00.0000000,phop,Hopper8904i,Phil Hop
"80"" Rare 100% Purple Natural Emerald Jadeite Jade Dragon""",,Artifact,Beijing,Hebei,China,Group 1,,,1800000,17637,2021-12-25T00:00:00.0000000,phop,Hopper8904i,Phil Hop
Mickey Mouse Shotglass,I got this because it was so weird that they sell Disney shotglasses! Does Mickey Mouse do shots?,Kitchenware,New York City,New York,United States,Group 2,,,25.99,2.5,2021-04-02T00:00:00.0000000,chernadez,Kelpcleaner123r,Carlso Hernadez
Gold Spoon,Does the Queen use this to stir her tea?,Kitchenware,London,London,England,Group 2,,,50,4,2020-01-05T00:00:00.0000000,chernadez,Kelpcleaner123r,Carlso Hernadez
Fancy Scarf,"The color is so intense, I love it!",Clothing,Munich,Bavaria,Germany,Group 2,,,45,8,1998-06-12T00:00:00.0000000,chernadez,Kelpcleaner123r,Carlso Hernadez
Smooth Rock,"I found it on the beach, it's so nice and round!",Geological,Barcelona,Catalonia,Spain,Group 2,,,0,4,2001-02-15T00:00:00.0000000,chernadez,Kelpcleaner123r,Carlso Hernadez
Eiffel Tower Shotglass,"Yeah, sure, maybe it's basic.",Kitchenware,Paris,Ile-de-France,France,Group 2,,,14.99,2,2005-12-17T00:00:00.0000000,chernadez,Kelpcleaner123r,Carlso Hernadez
Hand-bound sketchbook,Someone made this by hand! It's so nice and it smells like leather.,Book,Sydney,New South Wales,Australia,Group 2,,,35,20,1999-11-23T00:00:00.0000000,chernadez,Kelpcleaner123r,Carlso Hernadez
Stone Shotglass,"It's heavy, but it's cool to drink out of!",Kitchenware,Copenhagen,Capital,Denmark,Group 2,,,17.99,5,2013-10-30T00:00:00.0000000,chernadez,Kelpcleaner123r,Carlso Hernadez
Weird spoon,Why is it shaped like that? It looks so strange but so cool!,Kitchenware,Helsinki,Uusimaa,Finland,Group 2,,,12.99,6,2012-05-24T00:00:00.0000000,chernadez,Kelpcleaner123r,Carlso Hernadez
City postcard,It really is a nice skyline,Postcard,Los Angeles,California,United States,Group 2,,,2.99,1,2015-07-15T00:00:00.0000000,bgreen,yoUrPassWOrd!,Brandon Green
Red scallop shell,"It fits perfectly in the palm of my hand, and the stripes are so cute!",Miscellaneous,Miami,Florida,United States,Group 2,,,0,1.5,2021-01-08T00:00:00.0000000,bgreen,yoUrPassWOrd!,Brandon Green
Egyptian Drum,"I think the top of the drum is made from papayrus, it sounds really awesome!",Miscellaneous,Cairo,Greater Cairo Regional Unit,Egypt,Group 2,,,60,34,2012-06-28T00:00:00.0000000,bgreen,yoUrPassWOrd!,Brandon Green
Ink Artbook,These drawings were handmade! The ink strokes are so beautiful,Book,Beijing,Hebei,China,Group 2,,,29.99,18,2007-12-30T00:00:00.0000000,bgreen,yoUrPassWOrd!,Brandon Green
Manga,Don't judge me! I really like this one. The characters are cute AND deep.,Book,Tokyo,Kanto,Japan,Group 2,,,15.99,21,2010-01-05T00:00:00.0000000,bgreen,yoUrPassWOrd!,Brandon Green
Black Rock,"It's so dark, and so smooth!",Geological,Seoul,Gyeonggi,South Korea,Group 2,,,0,5,1995-11-04T00:00:00.0000000,bgreen,yoUrPassWOrd!,Brandon Green
Sunset Postcard,The view is so unbelievable... the sky really looked like that in person!,Postcard,Bangkok,Central Thailand,Thailand,Group 2,,,1,0.75,2007-08-01T00:00:00.0000000,bgreen,yoUrPassWOrd!,Brandon Green
Sari,"It's so beautiful, and the patterns were sewn by hand!",Clothing,Mumbai,Maharashtra,India,Group 2,,,120,86,2014-06-14T00:00:00.0000000,bgreen,yoUrPassWOrd!,Brandon Green
Petronas Towers Postcard,They're so tall but so beautiful! I want to live in a city like this,Postcard,Kuala Lumpur,Selangor,Malaysia,Group 2,,,0.8,1,2011-04-05T00:00:00.0000000,bgreen,yoUrPassWOrd!,Brandon Green
Union Jack Shotglass,"My cousin bought this for me when I visited because she wouldn't stop roasting me for being a tourist.... it's ironic, I promise.",Kitchenware,Liverpool,Lancashire,England,Group 2,,,12.99,3,2019-01-18T00:00:00.0000000,bgreen,yoUrPassWOrd!,Brandon Green
Shiny Shell,"The inside of the shell is iridescent, like a pearl. I wonder what this shell comes from.",Miscellaneous,Perth,Western Australia,Australia,Group 2,,,0,2,2018-03-25T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Kangaroo Postcard,Who doesn't love a kangaroo? Aww....,Postcard,Auckland,North Island,New Zealand,Group 2,,,1.2,1,2017-02-23T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Ancient Roman Spoon,They say they made this with the same methods that Ancient Romans used. It's that why it's so lopsided?,Kitchenware,Rome,Lazio,Italy,Group 2,,,22.99,3,2001-06-06T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Zuffolo,It's a little flute made of wood! The sound is deeper than I was expecting.,Miscellaneous,Venice,Veneto,Italy,Group 2,,,45.5,15,2002-10-19T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Blouse,"I never wear it because I'm too afraid of damaging the beadwork, but it looks so elegant and expensive.",Clothing,Naples,Campania,Italy,Group 2,,,60,5,2003-09-12T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Maple Leaf Shotglass,Sometimes I fill this up with maple syrup to pour on my pancakes.... is that a disrespectful stereotype?,Kitchenware,Toronto,Ontario,Canada,Group 2,,,9.5,4,2004-10-27T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Moose Photographs,I love books with nature photographs... I didn't know moose (meese? mooses?) were so BIG!,Book,Montreal,Quebec,Canada,Group 2,,,17.99,19,2008-05-15T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Cookbook,I'm going to learn how to make borsct! It's gonna happen!,Book,Moscow,Central Russia,Russia,Group 2,,,15.6,17,2005-12-13T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Sunglasses,These are honestly the best aviators I've ever worn. I'm gonna wear them until they break!,Clothing,Edinburgh,Lothian,Scotland,Group 2,,,14.99,6,2021-01-18T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Story Bridge,"It was so beautiful to see the bridge all lit up for Christmas, I'll never forget it!",Postcard,Brisbane,Queensland,Australia,Group 2,,,1.25,1,2013-12-25T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Long Walk to Freedom,This was such an incredible read.,Book,Johannesburg,Gauteng,South Africa,Group 2,,,14.69,22,1999-12-31T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Headscarf,It's so soft and light. It really helped to keep me cool while I was visiting.,Clothing,Casablanca,Casablanca-Settat,Morocco,Group 2,,,35.99,7,2011-06-16T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Olive Spoon,Who knew they made special spoons for eating olives? Not me!,Kitchenware,Athens,Attica,Greece,Group 2,,,22.25,6,2006-07-08T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Carnival Postcard,"Picture of the famous Patras Carnival, one of the biggest in all of Europe!",Postcard,Patras,Peloponnese,Greece,Group 2,,,0.99,1,2016-04-15T00:00:00.0000000,djohnson,HillyMountaintop56j,Dustin Johnson
Architecture Book,An overview of the designs used in the old structures and buildings in Paris.,Book,Paris,Ile-de-France,France,Group 2,,,49.99,20,2015-04-28T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Beach Postcard,A picture of the beautiful beach at Cannes!,Postcard,Cannes,Alpes-Maritimes,France,Group 2,,,1.99,1,2014-11-11T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Tourist Shirt,"Has ""I <3 Chicago"""" on the front.""",Clothing,Chicago,Illinois,United States,Group 2,,,12.99,5,2000-01-01T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
TI-89,Very helpful for my algebra homework!,Miscellaneous,Dallas,Texas,United States,Group 2,,,99.99,8,1998-08-19T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Obsidian,"Wow, it's made from crystalized lava!",Geological,Aberdeen,New South Wales,Australia,Group 2,,,18.99,12,2014-08-13T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Dirndl,Now I have something to wear when my German inlaws invite me to Oktoberfest.,Clothing,Frankfurt,Hesse,Germany,Group 2,,,69.99,10,1997-02-26T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Clamshell,A classic clamshell.,Miscellaneous,Madrid,Community of Madrid,Spain,Group 2,,,0,3.5,2000-04-19T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Jorge Ben Jor Autobiography,A book about the life of one of Brazil's most iconic pop artists of the 20th century.,Book,Rio de Janeiro,Rio de Janeiro,Brazil,Group 2,,,16.49,9,2005-09-01T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Cristo Redentor Shotglass,He would be so proud.,Kitchenware,Rio de Janeiro,Rio de Janeiro,Brazil,Group 2,,,12.29,2,2021-09-21T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Poncho,"Authentic and cozy, just what I always wanted",Clothing,Buenos Aires,Buenos Aires,Argentina,Group 2,,,42,24,2016-10-10T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Shikumen Postcard,A picture of a neighborhood with shikumen architecture.,Postcard,Shanghai,East China,China,Group 2,,,2.5,1,2020-09-10T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Shamisen,"It was really expensive and I don't know how to play it, but it's super cool.",Miscellaneous,Kyoto,Kyoto,Japan,Group 2,,,1640,36,2001-01-25T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Small Wooden Spoon,For portioning spices like sambal,Kitchenware,Surabaya,East Java,Indonesia,Group 2,,,6,3,2005-10-17T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Like Water for Chocolate,I asked the bookstore clerk what they recommended and they gave me this.,Book,Mexico City,Valley of Mexico,Mexico,Group 2,,,1.34,5,2004-11-22T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Beach Postcard,I think the picture it too heavily photoshopped.,Postcard,Cancun,Quintana Roo,Mexico,Group 2,,,2.99,1,2018-07-02T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Minneapolis Institute of Art Postcard,Some impressionist art on a postcard from an Minneapolis artist.,Postcard,Minneapolis,Minnesota,United States,Group 2,,,5.99,1,2003-09-06T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Old Pewter Spoon,Bought from an antique shop. Good for bashing rats,Kitchenware,London,London,England,Group 2,,,17.99,12,2005-11-15T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Chiton Shell,"I found one half of a large shell, walked a few meters, then found the other half and now keep them sitting next to each other",Miscellaneous,Nice,Alpes-Maritimes,France,Group 2,,,0,16,2001-03-30T00:00:00.0000000,whilson,Loops645u,Wendy Hillson
Grizzly Bear Mug,,Kitchenware,,,,Group 3,-105.688103,40.343182,7.5,12,2019-02-15T00:00:00.0000000,aquaid,Planecrash75J,Ace Mc. Quaid
